Communes;Nom;UAI;Niveau de labellisation;IPS;Résultats au DNB;Nombre de terminaux pédagogique /élève;Nombre d'heures de formation numérique /enseignant /3an
BEDARIEUX;UPP SAINT GERVAIS LES ECRIVAINS COMBATTANTS;0340066M;3;;;;1.06
BEZIERS;COLLEGE LA DULLAGUE;0340016H;2;80.9;95.4;;1.0
MONTPELLIER;COLLEGE FRANCOIS RABELAIS;0342131G;2;93.2;96.3;;1.07
SETE;COLLEGE VICTOR HUGO;0340972X;3;89.5;86.5;0.33;2.82
AGDE;COLLEGE RENE CASSIN;0341032M;1;85.7;83.1;0.25;2.62
BEDARIEUX;COLLEGE FERDINAND FABRE;0340119V;3;93.8;81.7;0.33;1.06
BEZIERS;COLLEGE KATIA ET MAURICE KRAFFT;0341321B;2;76.4;89.7;0.14;0.38
LUNEL;COLLEGE AMBRUSSUM;0341825Z;2;107.0;95.7;0.2;0.75
PEZENAS;COLLEGE JEAN BENE;0340837A;0;100.9;94.3;;1.22
SAINT-PONS-DE-THOMIERES;COLLEGE DU JAUR;0340070S;3;94.1;100.0;0.2;0.52
BEZIERS;COLLEGE PAUL RIQUET;0340836Z;0;68.9;85.7;;
GANGES;COLLEGE LOUISE MICHEL;0341424N;1;107.7;96.5;0.12;1.24
MONTPELLIER;COLLEGE SIMONE VEIL;0340955D;3;77.1;94.2;;0.98
AGDE;COLLEGE PAUL-EMILE VICTOR;0341893Y;3;90.0;83.4;0.25;1.73
BEZIERS;COLLEGE JEAN PERRIN;0341066Z;0;81.7;93.1;;1.15
BEZIERS;COLLEGE LUCIE AUBRAC;0342132H;0;73.8;77.0;;1.91
BEZIERS;COLLEGE HENRI IV;0340118U;2;74.2;83.0;0.25;0.93
LUNEL;COLLEGE FREDERIC MISTRAL;0340031Z;1;80.0;89.0;0.25;0.96
SAINT-PONS-DE-THOMIERES;UPP OLARGUES ALEXANDRE LAISSAC;0340056B;3;;;;0.52
SETE;COLLEGE PAUL VALERY;0340115R;2;101.5;89.0;;1.1
SETE;COLLEGE JEAN MOULIN;0341065Y;1;75.7;94.4;0.25;
